StartDate,SleptAt,AwokeAt,Duration
28/03/2014,"March 29, 2014 at 12:08a.m.",29/03/2014 07:02:00,414
29/03/2014,"March 30, 2014 at 04:25a.m.",30/03/2014 06:51:00,146
30/03/2014,"March 31, 2014 at 01:47a.m.",31/03/2014 10:52:00,545
31/03/2014,"April 01, 2014 at 12:03a.m.",01/04/2014 07:01:00,418
01/04/2014,"April 01, 2014 at 11:22p.m.",02/04/2014 07:05:00,463
02/04/2014,"April 03, 2014 at 05:11a.m.",03/04/2014 12:41:00,450
03/04/2014,"April 04, 2014 at 12:05a.m.",04/04/2014 07:10:00,425
04/04/2014,"April 05, 2014 at 12:31a.m.",05/04/2014 06:58:00,387
05/04/2014,"April 06, 2014 at 03:01a.m.",06/04/2014 10:53:00,472
06/04/2014,"April 07, 2014 at 04:05a.m.",07/04/2014 09:23:00,318
07/04/2014,"April 08, 2014 at 12:16a.m.",08/04/2014 06:07:00,351
08/04/2014,"April 09, 2014 at 12:29a.m.",09/04/2014 07:18:00,409
09/04/2014,"April 10, 2014 at 12:13a.m.",10/04/2014 06:57:00,404
10/04/2014,"April 11, 2014 at 12:08a.m.",11/04/2014 07:23:00,435
11/04/2014,"April 11, 2014 at 11:52p.m.",12/04/2014 07:02:00,430
12/04/2014,"April 13, 2014 at 03:58a.m.",13/04/2014 10:36:00,398
13/04/2014,"April 13, 2014 at 10:45p.m.",14/04/2014 10:41:00,716
14/04/2014,"April 15, 2014 at 12:57a.m.",15/04/2014 07:15:00,378
15/04/2014,"April 16, 2014 at 12:58a.m.",16/04/2014 07:07:00,369
16/04/2014,"April 16, 2014 at 11:45p.m.",17/04/2014 07:24:00,459
17/04/2014,"April 18, 2014 at 01:13a.m.",18/04/2014 06:35:00,322
18/04/2014,"April 18, 2014 at 11:00p.m.",19/04/2014 08:15:00,555
19/04/2014,"April 19, 2014 at 11:35p.m.",20/04/2014 08:53:00,558
20/04/2014,"April 21, 2014 at 12:52a.m.",21/04/2014 07:48:00,416
21/04/2014,"April 21, 2014 at 10:32p.m.",22/04/2014 06:43:00,491
22/04/2014,"April 22, 2014 at 11:55p.m.",23/04/2014 06:57:00,422
23/04/2014,"April 23, 2014 at 07:05p.m.",24/04/2014 07:05:00,720
24/04/2014,"April 25, 2014 at 12:18a.m.",25/04/2014 07:14:00,416
25/04/2014,"April 26, 2014 at 01:39a.m.",26/04/2014 06:57:00,318
26/04/2014,"April 27, 2014 at 04:10a.m.",27/04/2014 10:48:00,398
27/04/2014,"April 28, 2014 at 02:25a.m.",28/04/2014 10:40:00,495
28/04/2014,"April 29, 2014 at 01:15a.m.",29/04/2014 07:18:00,363
29/04/2014,"April 29, 2014 at 11:33p.m.",30/04/2014 07:09:00,456
30/04/2014,"April 30, 2014 at 11:49p.m.",01/05/2014 06:57:00,428
01/05/2014,"May 02, 2014 at 12:07a.m.",02/05/2014 10:14:00,607
02/05/2014,"May 03, 2014 at 02:42a.m.",03/05/2014 10:41:00,479
03/05/2014,"May 04, 2014 at 05:00a.m.",04/05/2014 10:40:00,340
04/05/2014,"May 05, 2014 at 04:02a.m.",05/05/2014 14:00:00,598
05/05/2014,"May 05, 2014 at 10:24p.m.",06/05/2014 06:57:00,513
06/05/2014,"May 07, 2014 at 02:25a.m.",07/05/2014 07:04:00,279
07/05/2014,"May 07, 2014 at 11:15p.m.",08/05/2014 07:11:00,476
08/05/2014,"May 09, 2014 at 12:08a.m.",09/05/2014 07:01:00,413
09/05/2014,"May 10, 2014 at 12:04a.m.",10/05/2014 07:08:00,424
10/05/2014,"May 11, 2014 at 01:25a.m.",11/05/2014 08:29:00,424
11/05/2014,"May 12, 2014 at 01:36a.m.",12/05/2014 10:01:00,505
12/05/2014,"May 12, 2014 at 11:57p.m.",13/05/2014 06:21:00,384
13/05/2014,"May 14, 2014 at 12:46a.m.",14/05/2014 06:57:00,371
14/05/2014,"May 14, 2014 at 09:42p.m.",15/05/2014 07:16:00,574
15/05/2014,"May 16, 2014 at 12:20a.m.",16/05/2014 06:59:00,399
16/05/2014,"May 16, 2014 at 11:57p.m.",17/05/2014 07:15:00,438
17/05/2014,"May 17, 2014 at 11:38p.m.",18/05/2014 10:23:00,645
18/05/2014,"May 19, 2014 at 03:43a.m.",19/05/2014 09:38:00,355
19/05/2014,"May 19, 2014 at 11:26p.m.",20/05/2014 06:56:00,450
20/05/2014,"May 21, 2014 at 12:52a.m.",21/05/2014 06:57:00,365
21/05/2014,"May 21, 2014 at 10:56p.m.",22/05/2014 06:58:00,482
22/05/2014,"May 22, 2014 at 11:47p.m.",23/05/2014 06:57:00,430
23/05/2014,"May 23, 2014 at 11:37p.m.",24/05/2014 07:11:00,454
24/05/2014,"May 24, 2014 at 11:06p.m.",25/05/2014 06:37:00,451
25/05/2014,"May 26, 2014 at 01:14a.m.",26/05/2014 08:36:00,442
26/05/2014,"May 27, 2014 at 12:16a.m.",27/05/2014 07:00:00,404
27/05/2014,"May 27, 2014 at 11:05p.m.",28/05/2014 06:57:00,472
28/05/2014,"May 28, 2014 at 11:35p.m.",29/05/2014 06:59:00,444
29/05/2014,"May 29, 2014 at 11:21p.m.",30/05/2014 07:57:00,516
30/05/2014,"May 31, 2014 at 12:09a.m.",31/05/2014 08:46:00,517
31/05/2014,"June 01, 2014 at 02:48a.m.",01/06/2014 13:50:00,662
01/06/2014,"June 02, 2014 at 01:21a.m.",02/06/2014 13:40:00,739
02/06/2014,"June 03, 2014 at 02:39a.m.",03/06/2014 10:08:00,449
03/06/2014,"June 04, 2014 at 01:00a.m.",04/06/2014 10:18:00,558
04/06/2014,"June 04, 2014 at 10:30p.m.",05/06/2014 06:13:00,463
05/06/2014,"June 06, 2014 at 12:00a.m.",06/06/2014 07:57:00,477
06/06/2014,"June 07, 2014 at 01:00a.m.",07/06/2014 09:11:00,491
07/06/2014,"June 08, 2014 at 04:50a.m.",08/06/2014 11:45:00,415
08/06/2014,"June 09, 2014 at 04:15a.m.",09/06/2014 10:49:00,394
09/06/2014,"June 10, 2014 at 02:37a.m.",10/06/2014 09:08:00,391
10/06/2014,"June 10, 2014 at 11:28p.m.",11/06/2014 06:12:00,404
11/06/2014,"June 11, 2014 at 10:44p.m.",12/06/2014 08:07:00,563
12/06/2014,"June 13, 2014 at 12:25a.m.",13/06/2014 07:53:00,448
13/06/2014,"June 14, 2014 at 01:14a.m.",14/06/2014 07:16:00,362
14/06/2014,"June 14, 2014 at 11:14p.m.",15/06/2014 11:30:00,736
15/06/2014,"June 16, 2014 at 03:48a.m.",16/06/2014 09:37:00,349
16/06/2014,"June 17, 2014 at 01:08a.m.",17/06/2014 11:05:00,597
17/06/2014,"June 18, 2014 at 12:41a.m.",18/06/2014 10:07:00,566
18/06/2014,"June 19, 2014 at 12:43a.m.",19/06/2014 07:34:00,411
19/06/2014,"June 19, 2014 at 11:28p.m.",20/06/2014 07:34:00,486
20/06/2014,"June 21, 2014 at 01:12a.m.",21/06/2014 09:07:00,475
21/06/2014,"June 21, 2014 at 11:14p.m.",22/06/2014 05:59:00,405
22/06/2014,"June 23, 2014 at 05:02a.m.",23/06/2014 09:05:00,243
23/06/2014,"June 23, 2014 at 04:00p.m.",24/06/2014 08:00:00,960
24/06/2014,"June 25, 2014 at 03:11a.m.",25/06/2014 09:44:00,393
25/06/2014,"June 26, 2014 at 01:01a.m.",26/06/2014 08:23:00,442
