x,y
147.875,207.16
146.5,259.44
134.875,508.116
129.625,499.96
143.5,591.288
149.93752,488.524
145.5,174.488
160.5,500.076
166.125,508.48
156.5,423.352
155.68752,280.728
153.875,216.332
156.5,385.004
164.31248,454.76
178.375,593.396
179.875,467.668
178.875,295.832
189.25,629.968
174,670.312
175.25,678.368
167,284.62
159.75,474.324
158,473.752
161.5,369.784
161.75,244.136
155.5,205.28
152.5,254.384
150.5,243.324
152.5,327.512
151.5,393.312
148.125,191.788
143.875,416.944
140.5,394.26
143.21872,469.108
140,426.112
140.5,251.672
139.75,245.68
134.43752,609.168
127.75,457.608
129.625,932.46
136,584.232
128.875,309.644
128.75,597.56
131.625,471.236
133.25,318.068
134,244.876
135.375,207.66
139.5,295.116
149.5,414.88
143.5,311.324
145.31248,200.896
153.5,421.62
159.5,469.096
159.06248,250.812
160.5,236.268
153.5,201.744
149.75,171.836
148.25,422.708
149.375,179.716
144.51559,218.988
155.06248,330.408
157,244.896
155.5,177.712
163.375,410.912
172.06248,411.572
167.75,285.296
167.93752,251.34
169.75,267.408
163.875,251.132
166.625,197.2
168.75,201.2
175,434.616
180,473.128
186.43752,661.872
185,562.196
187.375,382.592
185.875,327.836
187,267.104
181.43752,231.796
180,246.624
178.5,343.144
177.81248,520.348
176.93752,359.484
193.06248,999.88
192.375,373.748
188,705.504
181.93752,456.1
177,454.348
173.93752,421.82
172.75,445.748
172.75,337.232
176.75,358.64
180.5,295.66
182.875,384.916
183.81248,205.092
180.25,150.032
180.125,122.016
177.625,145.348
179.5,291.236
180,294.164
183,221.36
181.5,162.12
182.375,182.024
185.5,228.404
186.5,195.032
199.625,394.624
199.5,297.62
202.375,268.34
203,158.944
198.875,179.072
207.5,236.748
212.93752,236.572
212,164.168
215.5,160.496
219.18752,173.404
230.18752,228.064
229.25,259.556
233,226.652
235.25,80.356
234.5,185.304
223.625,242.424
234,527.74
249.75,392.324
258.75,400.324
282,643.948
353,2653.42
329.31247,996.276
341.25,456.72
357.5,381.828
356.25,227.864
350.5,288
334.75,331.324
341.875,198.812
352.125,206.52
369.875,275.284
408.31247,404.304
421.18753,345.572
426.25,184.684
428.06247,381.58
420,208.964
410,117.632
448,249.724
441.5,101.164
477,384.696
500.125,698.688
431.125,831.948
413,713.012
408,489.996
451.25,610.224
426.25,757.616
394,741
377.375,677.628
363,492.328
350,307.06
367.375,318
371.93753,313.496
360,176.152
360.5,253.292
347,345.88
343.48431,194.04
339.56247,192.22
343,366.56
322.06247,358.252
329.75,246.908
337,268.132
361,390.576
372.5,338.16
363,208.644
379.81247,298.288
377.25,239.188
366,179.804
365,191.584
173.75,151.656
173.25,213.232
170,128.204
168,124.346
163.1875,146.438
157,176.916
170,211.898
171.625,165.06
170.3125,114.18
164.75,184.202
169.875,136.846
163,116.522
159,122.274
163,149.72
177,255.664
180.375,173.456
181,172.344
185,174.05
183,104.066
180.5,120.33
183.5312,157.686
169,176.434
173,170.492
176.9375,112.23
175.375,104.046
193.25,252.328
205.625,313.846
203,147.086
201,147.078
205.1875,172.798
200.75,128.302
196.5,215.4
187.0625,317.338
177.25,216.84
173,193.228
171,425.284
169.875,273.718
171.25,559.904
160,249.604
153,248.6
142.5,288.536
142.9375,296.958
148.125,280.228
135.25,384.668
122.9375,444.686
127.5,248.66
134.5,183.26
129.125,131.006
119.125,219.748
127,251.564
126.875,166.696
126.75,199.642
131.875,149.088
136,142.524
131.5,136.582
124.75,143.83
127,130
128,83.75
125.5,79.588
