Date;Open;High;Low;Close;Volume;Adj Close
08/04/2015;53.838.246;54.385.241;53.838.246;54.161.245;1178500;54.161.245
09/04/2015;54.103.249;54.195.249;53.549.239;54.078.247;1557900;54.078.247
10/04/2015;54.229.241;54.229.241;53.731.245;54.001.248;1409500;54.001.248
13/04/2015;53.841.239;54.406.246;53.731.245;5.391.724;1645300;5.391.724
14/04/2015;53.625.241;53.757.244;52.809.435;5.303.924;2604100;5.303.924
15/04/2015;52.870.241;53.473.243;52.322.235;53.253.243;2318800;53.253.243
16/04/2015;52.990.241;53.559.246;52.961.237;53.380.239;1299900;53.380.239
17/04/2015;52.866.238;52.984.243;52.101.237;52.405.239;2144100;52.405.239
20/04/2015;52.560.235;53.609.242;52.450.235;53.538.241;1679300;53.538.241
21/04/2015;53.751.246;53.939.243;53.367.741;53.397.241;1844800;53.397.241
22/04/2015;53.440.243;54.108.249;5.317.524;53.936.746;1593600;53.936.746
23/04/2015;54.100.244;55.096.249;54.023.244;54.700.247;4184900;54.700.247
24/04/2015;56.610.252;57.114.259;55.725.251;56.506.256;4932500;56.506.256
27/04/2015;56.339.001;56.595.001;55.320.001;555.37;2398000;555.37
28/04/2015;55.464.001;55.602.002;55.036.603;55.367.999;1491000;55.367.999
29/04/2015;55.046.997;55.367.999;54.690.503;54.908.002;1698800;54.908.002
30/04/2015;547.87;54.859.003;53.504.999;53.734.003;2082200;53.734.003
